Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/pt,FH Wnr/Pt,BH Wnr/Pt,Vs Ratio,Vs Wnr/Pt,Vs UFE/Pt
2023 Cincinnati F,W vs Muchova,16,14,1.1,10.8,9.5,16,8,2.0,11.7,5.8,7.3,4.4,0.6,14.2,22.3
2023 Cincinnati SF,W vs Swiatek,19,41,0.5,9.4,20.3,13,35,0.4,7.0,18.8,4.3,2.2,0.6,13.4,22.3
2023 Cincinnati R16,W vs Noskova,23,20,1.2,24.5,21.3,19,15,1.3,22.9,18.1,9.6,12.0,0.2,4.3,25.5
2023 Montreal QF,L vs Pegula,29,56,0.5,14.0,27.1,22,47,0.5,11.9,25.4,6.5,5.4,0.6,7.2,13.0
2023 Washington F,W vs Sakkari,19,13,1.5,18.1,12.4,11,9,1.2,12.6,10.3,4.6,5.7,0.6,14.3,24.8
2023 Wimbledon R128,L vs Kenin,33,33,1.0,18.8,18.8,21,28,0.8,13.3,17.7,8.2,5.1,1.2,12.5,10.2
2023 Roland Garros QF,L vs Swiatek,13,15,0.9,12.9,14.9,11,13,0.8,11.6,13.7,2.1,9.5,1.7,19.8,11.9
2023 Roland Garros R16,W vs Schmiedlova,21,20,1.1,15.9,15.2,21,13,1.6,17.4,10.7,5.0,11.6,0.6,12.1,20.5
2023 Roland Garros R32,W vs Andreeva,35,21,1.7,21.2,12.7,34,15,2.3,22.5,9.9,10.6,11.9,0.5,10.3,18.8
2023 Roland Garros R64,W vs Grabher,15,21,0.7,14.2,19.8,14,17,0.8,14.9,18.1,7.4,7.4,0.3,8.5,27.4
2023 Roland Garros R128,W vs Masarova,16,21,0.8,10.5,13.8,15,18,0.8,10.4,12.5,5.6,4.2,0.5,15.1,28.9
2023 Miami R64,W vs Marino,13,10,1.3,11.5,8.8,7,7,1.0,7.1,7.1,1.0,5.1,0.8,15.9,20.4
2023 Indian Wells QF,L vs Sabalenka,11,15,0.7,11.6,15.8,5,12,0.4,6.2,14.8,1.2,4.9,2.0,18.9,9.5
